date,open,close,high,low,volume,amount
2010-06-01,986.02,973.23,994.79,948.12,1356285,4924176896.0
2010-06-02,967.61,997.12,997.12,952.61,1074627,4001206272.0
2010-06-03,1002.35,998.39,1026.7,997.78,1616805,6240835584.0
2010-06-04,989.68,1027.68,1027.68,986.5,1500295,5269440512.0
2010-06-07,1005.03,1069.47,1075.22,1001.7,2655275,9106095104.0
2010-06-08,1067.32,1067.15,1075.5,1050.96,1976720,6621994496.0
2010-06-09,1070.85,1077.82,1102.1,1069.43,2541568,8994866176.0
2010-06-10,1077.68,1117.48,1119.11,1076.28,2197404,8242731008.0
2010-06-11,1122.44,1122.2,1128.23,1118.71,2224874,8449039360.0
2010-06-17,1126.13,1064.84,1129.69,1064.84,1764283,6757409280.0
2010-06-18,1052.07,1000.28,1053.14,993.17,1630650,5827721216.0
2010-06-21,991.96,1040.8,1043.16,976.41,1574797,5604269568.0
2010-06-22,1037.04,1034.99,1057.36,1033.65,1427162,5067480064.0
2010-06-23,1026.86,1047.34,1056.35,1023.74,1257359,4608672256.0
2010-06-24,1046.76,1050.6,1059.75,1041.54,1069132,3904947968.0
2010-06-25,1046.21,1016.28,1046.21,999.16,1237298,4515664384.0
2010-06-28,1009.22,987.83,1014.41,984.22,920673,3463552256.0
2010-06-29,985.57,913.31,992.23,912.54,1497799,5293896704.0
2010-06-30,898.29,919.31,921.81,881.36,1223661,3852158464.0
2010-07-01,914.4,882.19,921.21,882.19,1049572,3663773696.0
2010-07-02,878.95,873.12,885.34,832.62,1288833,4212661760.0
2010-07-05,857.37,862.27,870.86,842.73,915864,2851736064.0
2010-07-06,859.26,893.72,898.45,857.8,1165231,3751055616.0
2010-07-07,896.53,908.55,908.55,890.34,1046162,3342473728.0
2010-07-08,912.0,905.51,914.3,887.03,1098087,3780698880.0
2010-07-09,903.5,932.15,936.53,896.89,1451460,4743256576.0
2010-07-12,931.53,930.17,941.07,924.06,1263617,4188147200.0
2010-07-13,924.95,931.08,936.64,906.3,1468657,4744135680.0
2010-07-14,929.75,922.36,937.93,916.07,1423586,4648080384.0
2010-07-15,920.05,892.56,930.55,892.56,1175880,3960490752.0
2010-07-16,885.07,892.3,895.06,869.02,1009312,3264221696.0
2010-07-19,881.66,908.05,910.18,878.07,938802,2992584192.0
2010-07-20,909.54,937.02,937.54,909.54,1365808,4559580672.0
2010-07-21,940.1,941.25,959.04,938.16,1665745,5960653824.0
2010-07-22,938.22,950.21,950.21,932.02,1326602,4356669440.0
2010-07-23,951.84,960.59,964.74,948.13,1721251,5339086336.0
2010-07-26,962.76,966.15,966.73,954.76,1476035,4626044928.0
2010-07-27,963.54,957.97,968.04,955.73,1361821,4574086656.0
2010-07-28,955.19,972.53,972.53,954.52,1566182,5187227648.0
2010-07-29,974.29,975.36,982.02,965.61,1794193,5897853440.0
2010-07-30,971.66,968.43,971.66,955.92,1458486,5049473024.0
2010-08-02,968.45,994.23,994.23,968.45,1810364,6104407552.0
2010-08-03,995.2,975.65,996.26,975.65,1757058,5951414784.0
2010-08-04,971.41,978.01,978.01,955.93,1446165,4758297088.0
2010-08-05,980.27,987.35,998.1,978.33,1770399,6033987072.0
2010-08-06,987.97,1011.39,1011.39,985.63,1899061,6225316864.0
2010-08-09,1013.24,1032.34,1032.34,1013.24,2091995,6918898688.0
2010-08-10,1031.98,993.99,1034.33,993.99,2177071,7106822656.0
2010-08-11,991.28,1004.64,1006.45,990.94,1615078,5180189696.0
2010-08-12,994.05,991.78,1007.58,987.98,1689189,5316055552.0
2010-08-13,992.63,1007.21,1007.52,986.62,1471798,4831450112.0
2010-08-16,1007.5,1030.22,1031.05,1005.05,1880400,6199923200.0
2010-08-17,1031.07,1033.58,1036.82,1023.08,1800777,6092952064.0
2010-08-18,1033.71,1026.72,1035.61,1018.5,1643501,5721278464.0
2010-08-19,1026.98,1025.53,1033.25,1021.7,1624534,5547406848.0
2010-08-20,1021.46,995.94,1022.45,993.56,1870224,6597771776.0
2010-08-23,994.94,995.61,1001.18,991.52,1456014,5064150016.0
2010-08-24,993.58,1004.98,1007.76,987.22,1365051,4942148608.0
2010-08-25,1000.27,976.88,1002.33,976.55,1501342,5247657984.0
2010-08-26,978.6,980.63,984.87,973.0,1288066,4668328960.0
2010-08-27,978.51,999.46,1000.86,975.72,1216242,4490466304.0
2010-08-30,1002.99,1024.93,1025.15,1002.99,1645412,5997851136.0
2010-08-31,1020.75,1025.57,1029.8,1015.13,1534699,5742617600.0
2010-09-01,1025.68,995.59,1029.81,987.59,1864362,6805223424.0
2010-09-02,1001.6,1014.92,1018.28,996.52,1630857,5905102336.0
2010-09-03,1017.64,1036.7,1045.21,1017.51,2289365,8448724480.0
2010-09-06,1039.46,1010.76,1043.24,1007.43,1813080,6466212352.0
2010-09-07,1010.11,1022.62,1022.62,1007.64,1284514,4586031104.0
2010-09-08,1020.23,1026.33,1027.64,1016.84,1403818,4795945984.0
2010-09-09,1029.11,1021.83,1040.67,1019.69,1959802,6404983296.0
2010-09-10,1021.87,1034.94,1037.51,1016.19,1812290,5743872512.0
2010-09-13,1034.39,1042.48,1045.39,1033.25,1667889,5527660544.0
2010-09-14,1044.3,1031.22,1046.13,1028.77,1590231,5554204672.0
2010-09-15,1029.52,990.1,1030.02,987.05,1818273,6238212608.0
2010-09-16,989.49,972.6,994.95,964.53,1442058,4843029504.0
2010-09-17,976.07,972.23,981.73,967.55,967840,3271601152.0
2010-09-20,972.45,949.2,975.26,947.41,923658,3136271360.0
2010-09-21,952.07,934.46,953.83,930.25,835858,2664430080.0
2010-09-27,936.21,950.67,951.84,930.86,892936,2896534016.0
2010-09-28,949.63,942.05,949.89,939.63,939433,2943710208.0
2010-09-29,941.27,926.76,944.17,924.41,831735,2805263872.0
2010-09-30,923.83,942.54,942.54,921.36,699737,2252413184.0
2010-10-08,946.47,959.86,963.18,945.62,1083960,3415850240.0
2010-10-11,960.91,947.11,961.17,941.91,1446870,4702486528.0
2010-10-12,946.63,951.79,959.98,945.01,1240192,3915278848.0
2010-10-13,951.33,962.74,962.74,940.65,1330516,4123690496.0
2010-10-14,963.29,958.49,975.91,956.86,1396405,4577347072.0
2010-10-15,954.12,944.25,957.77,937.12,1352498,4343111168.0
2010-10-18,941.87,932.36,941.87,913.82,1327875,4243012608.0
2010-10-19,932.83,995.92,1005.59,932.32,2339086,7752442880.0
2010-10-20,986.65,1004.54,1024.58,986.03,2638132,8597749760.0
2010-10-21,1001.68,991.84,1001.68,983.66,1569122,4853646848.0
2010-10-22,991.14,1013.45,1023.7,991.14,1765748,5596426240.0
2010-10-25,1018.08,1039.05,1043.09,1018.08,2063689,6717409792.0
2010-10-26,1041.53,1036.01,1041.91,1020.94,1838413,5899693568.0
2010-10-27,1034.86,1030.59,1048.56,1028.7,1701689,5627187712.0
2010-10-28,1024.7,1038.62,1038.62,1023.49,1592477,5363520512.0
2010-10-29,1042.4,1064.52,1069.75,1042.4,2235518,7678784000.0
2010-11-01,1071.63,1107.52,1113.62,1071.63,2817899,9836596224.0
2010-11-02,1108.09,1075.15,1108.09,1074.58,2454531,8659221504.0
2010-11-03,1063.2,1040.62,1063.2,1040.55,1620491,5454222848.0
2010-11-04,1041.42,1057.71,1057.71,1037.24,1338790,4549208576.0
2010-11-05,1067.87,1072.22,1072.22,1058.26,1397024,4795822080.0
2010-11-08,1077.5,1107.06,1107.06,1077.5,1786498,6235219968.0
2010-11-09,1110.43,1115.65,1117.52,1102.01,1900221,6746547712.0
2010-11-10,1115.74,1141.58,1147.48,1113.75,2266693,7916958720.0
2010-11-11,1137.08,1132.72,1163.7,1132.36,2297906,7972459520.0
2010-11-12,1126.85,1082.24,1140.63,1080.27,2292284,8050112512.0
2010-11-15,1087.81,1148.54,1148.54,1086.52,2091313,7721729536.0
2010-11-16,1154.41,1126.18,1175.31,1111.5,2894465,10386977792.0
2010-11-17,1115.12,1085.35,1132.86,1080.93,2076114,7106503680.0
2010-11-18,1090.14,1102.84,1102.84,1077.06,1569906,5219806720.0
2010-11-19,1106.75,1153.17,1153.17,1105.59,2414228,8111277568.0
2010-11-22,1153.26,1174.94,1194.2,1151.76,3034243,10608553984.0
2010-11-23,1172.06,1183.5,1183.84,1148.81,2157363,7681751552.0
2010-11-24,1176.42,1208.45,1208.45,1174.68,2120382,7594378752.0
2010-11-25,1212.77,1186.36,1215.74,1177.83,2101209,7526842880.0
2010-11-26,1184.8,1196.02,1200.5,1179.28,1747079,6325633024.0
2010-11-29,1195.31,1220.11,1221.74,1193.41,1964041,7287946240.0
2010-11-30,1219.08,1181.5,1219.12,1146.97,2362348,8516006400.0
2010-12-01,1176.61,1177.18,1182.57,1169.89,1194692,4367794176.0
2010-12-02,1187.1,1177.84,1192.8,1177.81,1251548,4635977216.0
2010-12-03,1177.17,1157.94,1178.67,1148.09,1204867,4450798080.0
2010-12-06,1157.72,1134.38,1159.3,1124.94,1133120,4059918336.0
2010-12-07,1132.33,1161.69,1162.58,1123.76,924935,3432386560.0
2010-12-08,1160.92,1160.24,1176.42,1158.1,1018373,3804190976.0
2010-12-09,1158.82,1144.53,1160.91,1144.18,996302,3617316352.0
2010-12-10,1139.83,1166.8,1167.68,1136.33,1029898,3865522176.0
2010-12-13,1175.51,1209.27,1210.75,1175.51,1624762,6233175040.0
2010-12-14,1211.46,1218.52,1219.71,1204.66,1422649,5339625984.0
2010-12-15,1217.81,1211.8,1224.05,1209.29,1428834,5255721984.0
2010-12-16,1209.62,1225.03,1233.62,1209.34,1475229,5295292928.0
2010-12-17,1222.93,1232.98,1233.39,1222.93,1283842,4801740800.0
2010-12-20,1235.67,1212.34,1239.6,1180.53,1749592,6788415488.0
2010-12-21,1212.09,1215.02,1222.3,1204.48,1210381,4491643392.0
2010-12-22,1214.77,1201.65,1215.79,1199.68,1109217,4057622784.0
2010-12-23,1198.74,1176.36,1200.76,1175.86,1073045,4106420736.0
2010-12-24,1170.69,1144.5,1170.69,1140.13,1011828,3824362496.0
2010-12-27,1145.7,1105.3,1154.53,1100.52,996825,3686715648.0
2010-12-28,1098.94,1091.48,1099.18,1080.4,942165,3226394112.0
2010-12-29,1091.82,1113.31,1113.31,1091.82,789672,2849558784.0
2010-12-30,1113.56,1117.21,1122.41,1106.43,821867,3028753408.0
2010-12-31,1117.36,1137.66,1138.47,1117.36,841734,3190304000.0
2011-01-04,1142.17,1155.11,1155.52,1140.04,1695881,7403006976.0
2011-01-05,1153.91,1155.35,1159.12,1146.38,1683527,7341840384.0
