date,open,close,high,low,volume,amount
2020-02-10,8164.4,8265.17,8269.77,8136.36,33958841,28309271296.0
2020-02-11,8270.06,8301.47,8345.08,8243.03,35360286,27424106496.0
2020-02-12,8294.21,8336.28,8336.28,8266.64,27068148,20818249472.0
2020-02-13,8329.26,8276.91,8368.77,8275.46,29404194,24591956736.0
2020-02-14,8264.24,8312.55,8321.35,8264.24,27821474,23150060800.0
2020-02-17,8305.75,8467.24,8467.37,8305.75,37880250,31718403328.0
2020-02-18,8457.28,8438.72,8470.43,8397.23,33779042,28781018112.0
2020-02-19,8428.94,8414.7,8457.13,8402.96,31908663,25700394752.0
2020-02-20,8426.05,8516.86,8522.68,8402.43,39107351,31102748672.0
2020-02-21,8506.94,8522.37,8553.17,8490.23,38068048,31748176640.0
2020-02-24,8508.21,8454.4,8513.81,8427.09,41413911,34851928832.0
2020-02-25,8345.37,8353.51,8365.22,8246.27,44572413,35310945792.0
2020-02-26,8281.92,8416.94,8481.43,8273.59,60885714,47042158848.0
2020-02-27,8429.43,8433.89,8479.46,8407.98,42516834,34520342784.0
2020-02-28,8311.92,8235.99,8359.3,8210.36,56177692,43335673856.0
2020-03-02,8274.53,8504.19,8515.13,8274.53,58757491,48410861056.0
2020-03-03,8574.51,8522.16,8597.69,8485.09,56105695,45675870208.0
2020-03-04,8491.11,8594.76,8595.67,8480.38,43475464,35890902528.0
2020-03-05,8632.66,8701.43,8708.6,8616.32,58613696,48229874432.0
2020-03-06,8631.94,8627.31,8655.42,8594.83,44322836,35363518464.0
2020-03-09,8519.7,8460.19,8527.67,8447.32,59715110,44850434816.0
2020-03-10,8399.84,8570.35,8592.24,8394.11,50523136,38524377856.0
2020-03-11,8565.85,8483.26,8576.64,8483.26,37493986,28766310400.0
2020-03-12,8411.64,8347.56,8414.37,8319.17,38022793,29049175808.0
2020-03-13,8074.19,8231.68,8279.77,8046.64,52291784,39825592064.0
2020-03-16,8273.13,8099.32,8295.96,8093.59,46602255,34815986688.0
2020-03-17,8098.56,8075.93,8182.02,7959.82,41483265,31368811520.0
2020-03-18,8112.91,7956.45,8139.38,7956.39,36496696,28184653824.0
2020-03-19,7930.61,7842.58,7973.96,7735.28,45387994,35275398912.0
2020-03-20,7899.28,7945.27,7975.13,7853.71,35543465,28469043200.0
2020-03-23,7815.32,7773.61,7860.32,7763.49,31394910,25288896000.0
2020-03-24,7857.0,7929.13,7939.33,7829.37,32132570,25519696384.0
2020-03-25,8048.51,8052.59,8072.94,7993.14,33253446,27061726208.0
2020-03-26,8013.88,7997.75,8042.8,7985.79,27084385,21282638336.0
2020-03-27,8059.39,8050.66,8120.96,8031.34,33856780,25280107008.0
2020-03-30,7987.0,8020.32,8045.15,7957.52,32159371,23726695168.0
2020-03-31,8066.07,7997.93,8072.2,7985.6,31295013,21870273024.0
2020-04-01,7982.3,7934.01,8028.32,7925.57,25824976,18884048896.0
2020-04-02,7899.7,8016.61,8017.5,7884.52,27378088,18210390272.0
2020-04-03,8005.36,7980.94,8009.37,7956.88,22470382,15303250688.0
2020-04-07,8064.37,8097.17,8106.57,8049.68,32655669,25637046272.0
2020-04-08,8064.67,8087.47,8100.52,8034.41,23961884,17275909888.0
2020-04-09,8112.56,8096.85,8119.04,8091.15,20264596,15205554176.0
2020-04-10,8109.01,8042.7,8111.34,8025.44,21848772,16859677184.0
2020-04-13,8024.57,8030.6,8046.06,8007.86,18024030,13709416704.0
2020-04-14,8043.58,8096.15,8096.93,8041.0,22382037,17537777920.0
2020-04-15,8098.54,8054.98,8099.31,8045.53,20407349,15668113152.0
2020-04-16,8022.71,8070.59,8070.92,8019.99,23042450,16644497664.0
2020-04-17,8091.64,8085.25,8121.24,8075.03,30804206,23066216448.0
2020-04-20,8090.12,8091.32,8097.14,8062.65,25469636,19540428288.0
2020-04-21,8074.28,8032.52,8075.67,7993.67,25394200,18976104960.0
2020-04-22,8006.22,8062.31,8063.29,7982.32,24063545,17028730112.0
2020-04-23,8072.56,8060.0,8093.81,8052.3,26808502,18702861824.0
2020-04-24,8058.89,8005.28,8063.37,7989.23,21395432,16007629056.0
2020-04-27,8019.49,8058.71,8096.77,8019.49,25356668,19043078144.0
2020-04-28,8068.63,8004.7,8071.28,7901.24,29858936,20629913088.0
2020-04-29,8001.61,8103.91,8103.91,7999.97,29744230,25804678400.0
2020-04-30,8125.12,8192.64,8200.23,8125.12,31057655,24936475648.0
2020-05-06,8113.47,8172.26,8179.2,8110.91,35700849,27349080832.0
2020-05-07,8155.32,8155.92,8165.48,8128.17,2649192784,20586929664.0
2020-05-08,8177.06,8206.84,8213.8,8167.0,2753852528,20934597120.0
2020-05-11,8212.58,8207.52,8237.43,8192.92,2784477248,21344101632.0
2020-05-12,8213.31,8170.91,8215.04,8147.26,2318592368,17738721536.0
2020-05-13,8158.25,8182.02,8190.06,8130.93,2251523984,16947565056.0
2020-05-14,8159.1,8105.25,8159.41,8101.93,2126958592,17364059648.0
2020-05-15,8129.76,8101.93,8141.3,8097.55,1965302832,16252751872.0
2020-05-18,8116.76,8125.55,8154.7,8079.76,2282612256,17475957760.0
2020-05-19,8172.92,8160.48,8183.97,8148.07,2279181744,17182306560.0
2020-05-20,8159.89,8136.29,8159.89,8120.35,2092724976,17265450752.0
2020-05-21,8153.72,8101.83,8156.57,8097.3,2241014576,16726844928.0
2020-05-22,8099.42,7996.04,8101.07,7987.06,2693087728,20226668544.0
2020-05-25,8007.63,8036.97,8042.16,7985.93,2058143120,16097307904.0
2020-05-26,8050.95,8070.35,8077.36,8037.89,2006328064,15104801024.0
2020-05-27,8072.98,8108.08,8122.21,8061.68,2351004400,17179515904.0
2020-05-28,8101.22,8112.91,8148.34,8067.13,2434546976,18673586944.0
2020-05-29,8097.15,8079.9,8102.09,8063.31,2523149984,18468670976.0
2020-06-01,8106.15,8215.26,8216.68,8106.15,2902158912,23447899648.0
2020-06-02,8210.45,8238.16,8244.82,8194.79,2837576592,21549358848.0
2020-06-03,8250.98,8216.69,8278.96,8214.68,2815587840,22400544512.0
2020-06-04,8242.84,8200.68,8243.01,8186.65,2141783824,17701068800.0
2020-06-05,8212.29,8199.8,8212.29,8159.79,1957907600,18004798720.0
2020-06-08,8224.37,8227.12,8233.71,8203.75,2679718672,25095556864.0
2020-06-09,8236.87,8265.73,8265.73,8221.37,2401371968,20951219200.0
2020-06-10,8271.87,8229.29,8272.15,8221.51,2398319840,20504845568.0
2020-06-11,8230.59,8167.85,8242.48,8161.42,3001916912,25248836096.0
2020-06-12,8091.14,8179.68,8190.02,8080.21,3591650496,27034549760.0
2020-06-15,8136.48,8122.22,8187.57,8116.01,3516542928,31235791104.0
2020-06-16,8161.38,8218.65,8220.88,8149.42,3015067760,25259719424.0
2020-06-17,8213.44,8241.53,8247.5,8195.52,2737259904,23174543872.0
2020-06-18,8233.16,8309.68,8322.08,8220.24,4193433536,34125956864.0
2020-06-19,8298.95,8316.23,8332.5,8289.65,3780223216,34859863552.0
2020-06-22,8307.83,8256.21,8311.44,8256.21,3580221296,33177739008.0
2020-06-23,8251.56,8222.57,8251.56,8209.03,2855963904,28648754176.0
2020-06-24,8214.38,8222.99,8240.72,8206.56,2860776736,28434217216.0
2020-06-29,8203.6,8159.72,8207.89,8144.38,3368684688,30684176384.0
2020-06-30,8184.75,8213.06,8224.25,8182.06,2852513088,25036698112.0
2020-07-01,8235.32,8356.04,8357.9,8229.99,4703841024,46231334400.0
2020-07-02,8361.15,8561.56,8563.73,8358.01,6934106112,62800732928.0
2020-07-03,8605.06,8750.38,8752.47,8605.06,8229375232,75488481280.0
2020-07-06,8858.72,9324.76,9336.94,8858.72,13754705664,121381724160.0
2020-07-07,9486.04,9282.05,9583.54,9282.05,13294847232,120837885952.0
2020-07-08,9245.53,9395.89,9424.09,9205.02,10667661568,95177949184.0
2020-07-09,9396.29,9475.5,9486.23,9315.57,9848676608,88967737344.0
2020-07-10,9399.3,9255.7,9411.32,9235.83,9722873600,91579760640.0
2020-07-13,9243.31,9385.27,9414.05,9189.46,9651210240,87296520192.0
2020-07-14,9354.5,9267.3,9420.08,9153.51,8352727808,74457882624.0
2020-07-15,9271.85,9061.31,9298.42,9022.68,7254383104,66002610688.0
2020-07-16,9056.76,8804.33,9113.37,8804.33,7947855104,69834743808.0
2020-07-17,8813.35,8752.15,8867.33,8703.26,5641464064,53356604416.0
2020-07-20,8796.57,9068.6,9068.6,8794.81,7183710976,67101714176.0
2020-07-21,9077.04,9022.9,9103.5,8980.2,5267233792,48089900288.0
2020-07-22,9026.69,9004.87,9138.56,8965.2,5751787776,53239186176.0
2020-07-23,8931.47,8909.55,8962.2,8757.45,5697330944,52670796032.0
2020-07-24,8884.62,8662.49,8920.84,8630.15,6031978240,55358912000.0
2020-07-27,8680.17,8631.3,8700.69,8577.32,4104842576,38982671872.0
2020-07-28,8672.11,8680.67,8722.32,8643.55,3555208176,33248512000.0
2020-07-29,8658.59,8801.06,8802.75,8612.43,4225311904,40702602496.0
2020-07-30,8808.59,8804.43,8842.68,8779.78,3984245424,37616875008.0
2020-07-31,8784.54,8820.0,8891.55,8721.97,4594224896,42154876672.0
2020-08-03,8865.68,8985.59,8985.59,8865.68,5291310848,50733572352.0
2020-08-04,9000.46,9014.72,9071.62,8923.85,7066501632,70297780224.0
2020-08-05,8983.14,8938.48,8983.81,8874.41,4529401600,42252476672.0
2020-08-06,8959.18,8935.88,8989.04,8847.68,4554693120,41863186944.0
2020-08-07,8919.19,8864.68,8919.19,8787.53,4310556928,39176638720.0
2020-08-10,8860.93,8977.85,9004.01,8847.12,5033351936,45367624192.0
2020-08-11,9003.54,8912.22,9051.39,8903.53,5638870016,52096386560.0
2020-08-12,8903.79,8944.44,8944.44,8813.46,5376530688,46138735616.0
2020-08-13,8960.76,8991.35,9023.55,8959.85,3998023872,34119430656.0
2020-08-14,8972.46,9025.05,9030.5,8914.01,4102648864,36967876864.0
2020-08-17,9054.14,9216.71,9257.36,9041.43,8066128128,74445221888.0
2020-08-18,9231.61,9218.14,9242.36,9182.16,5091035392,45287415808.0
2020-08-19,9237.59,9190.06,9290.16,9168.16,5299993088,44329359360.0
2020-08-20,9171.5,9081.06,9198.07,9066.72,4806117120,39518162944.0
2020-08-21,9100.81,9138.38,9160.31,9093.86,3617578784,30911440384.0
2020-08-24,9179.63,9141.59,9194.47,9128.25,3541575280,31605357312.0
2020-08-25,9183.1,9097.51,9205.93,9064.53,3493497168,31910992384.0
2020-08-26,9109.58,8997.74,9117.41,8975.02,4061447408,35365804800.0
2020-08-27,9015.99,9013.77,9022.85,8958.88,3578556000,31095257856.0
2020-08-28,9008.45,9122.72,9124.77,8979.83,4563106304,42281135616.0
2020-08-31,9143.61,9086.71,9179.86,9082.8,5824443648,52865090048.0
2020-09-01,9071.15,9108.94,9109.16,9041.98,3923812016,34743832320.0
2020-09-02,9124.83,9076.45,9130.32,9023.59,4288954544,37056071680.0
2020-09-03,9079.89,9050.11,9139.41,9035.17,3958161040,36094674432.0
2020-09-04,8957.39,8983.31,8999.45,8926.87,3345454768,31061080064.0
2020-09-07,8979.51,8890.69,9036.09,8878.42,3781420736,37314596096.0
2020-09-08,8912.26,8994.6,9003.52,8905.42,3791004320,37167555840.0
2020-09-09,8930.15,8898.25,8994.11,8879.52,4431693824,35318256640.0
2020-09-10,8952.18,8843.79,8974.59,8825.73,4089835312,34527386368.0
2020-09-11,8820.36,8829.64,8839.34,8764.28,3191041488,29023899904.0
2020-09-14,8841.98,8846.13,8855.64,8809.31,2593591472,22493355520.0
2020-09-15,8844.12,8833.68,8844.4,8797.32,2296346384,23039832320.0
2020-09-16,8832.54,8851.27,8884.98,8800.93,2553431168,19993756416.0
2020-09-17,8841.36,8834.66,8873.68,8797.53,2397712496,21093966080.0
2020-09-18,8849.1,9013.99,9015.53,8841.13,4806520832,46009237504.0
2020-09-21,9022.06,8969.94,9030.37,8952.08,3213455904,27736620032.0
2020-09-22,8915.97,8838.67,8947.66,8824.66,2969624416,24573693440.0
