date,open,close,high,low,volume,amount
2021-03-12,7768.21,7749.01,7791.96,7587.56,1098031040,18409617408.0
2021-03-15,7689.7,7581.73,7747.06,7508.13,1139550160,17631872512.0
2021-03-16,7620.0,7683.1,7742.7,7591.02,1063848544,15678324480.0
2021-03-17,7638.9,7719.29,7774.36,7545.98,774536288,13591022080.0
2021-03-18,7757.12,7750.19,7831.0,7719.27,808471536,13426636800.0
2021-03-19,7626.94,7551.35,7662.76,7509.39,736574288,14368946688.0
2021-03-22,7553.73,7672.55,7683.17,7522.59,944795856,13759584768.0
2021-03-23,7680.16,7506.12,7680.49,7450.98,769157776,13908798208.0
2021-03-24,7465.91,7276.11,7540.03,7254.56,887078800,15458276352.0
2021-03-25,7213.94,7273.1,7338.29,7163.53,609380880,12955059456.0
2021-03-26,7306.18,7530.17,7551.58,7306.18,873779152,17388638208.0
2021-03-29,7525.3,7456.84,7525.79,7387.25,834648384,15327607296.0
2021-03-30,7391.19,7547.09,7557.14,7360.72,689447232,15351527680.0
2021-03-31,7597.32,7451.18,7647.81,7430.61,720678976,15155377152.0
2021-04-01,7492.22,7599.74,7643.0,7492.22,919838992,16217451776.0
2021-04-02,7626.06,7737.53,7776.85,7568.61,1220390448,19004000256.0
2021-04-06,7775.08,7809.39,7829.75,7713.79,1250813056,18080473088.0
2021-04-07,7832.92,7709.63,7836.36,7661.46,1110732096,18243394816.0
2021-04-08,7658.31,7715.7,7747.08,7595.8,1037062624,15646539264.0
2021-04-09,7717.31,7573.22,7717.99,7540.24,802077232,14517270016.0
2021-04-12,7586.47,7423.2,7603.62,7399.79,889051584,14351509248.0
2021-04-13,7437.73,7458.57,7531.47,7412.15,793361424,12424039424.0
2021-04-14,7484.17,7631.02,7634.21,7484.17,775570784,14805721344.0
2021-04-15,7590.4,7611.3,7615.83,7500.84,813261584,14862432000.0
2021-04-16,7652.65,7830.68,7848.16,7628.9,1352321888,21259693056.0
2021-04-19,7985.19,8308.86,8316.46,7926.25,1744046288,32414983424.0
2021-04-20,8356.78,8251.87,8390.68,8232.2,1938369648,32933716736.0
2021-04-21,8174.78,8122.64,8217.59,8057.79,1660514480,29499309568.0
2021-04-22,8132.56,8084.0,8155.17,8028.22,1250945472,23717688320.0
2021-04-23,8025.98,8057.74,8136.61,7992.93,1068762480,20395057664.0
2021-04-26,8057.55,8027.79,8157.84,8015.7,1371270816,26383130880.0
2021-04-27,7989.33,7942.76,8024.36,7887.53,1111370448,22480450048.0
2021-04-28,7932.45,8022.14,8029.53,7869.41,1113220992,23286911488.0
2021-04-29,8000.68,7953.78,8000.96,7904.36,995190288,21806916096.0
2021-04-30,7958.88,7931.12,8001.37,7883.45,1077041360,22483661568.0
2021-05-06,7889.91,7884.14,7967.65,7818.3,1188167456,26936298752.0
2021-05-07,7869.98,7677.4,7871.1,7668.1,1009678272,23167186944.0
2021-05-10,7650.02,7771.87,7820.19,7585.62,1173939120,23389300480.0
2021-05-11,7723.66,7729.65,7829.66,7569.34,1436806032,31071902208.0
2021-05-12,7713.56,7956.31,7965.5,7689.5,1437060512,30469144576.0
2021-05-13,7891.22,7710.39,7899.04,7702.13,1471145424,30261847552.0
2021-05-14,7746.25,7898.15,7914.84,7667.06,1310568640,28067948032.0
2021-05-17,7921.07,8164.74,8205.76,7905.92,1792122096,36287364352.0
2021-05-18,8130.82,8154.97,8182.1,8063.83,1314437952,27735002880.0
2021-05-19,8125.52,8350.01,8427.03,8058.83,1545511888,38541615360.0
2021-05-20,8325.13,8286.1,8445.61,8285.0,1600322544,38407489024.0
2021-05-21,8255.53,8257.79,8330.12,8112.16,1477713936,32955713792.0
2021-05-24,8171.84,8109.12,8176.77,8057.01,1293114304,28945037312.0
2021-05-25,8095.98,8191.87,8205.72,8061.09,1184448000,27795525120.0
2021-05-26,8228.74,8236.23,8367.33,8228.29,1217030704,29663179008.0
2021-05-27,8284.46,8244.89,8290.69,8190.75,925081168,21990021120.0
2021-05-28,8246.58,8345.73,8453.85,8200.15,1187445616,29562828288.0
2021-05-31,8277.68,8390.73,8390.73,8170.73,1223818624,30489888512.0
2021-06-01,8355.88,8460.19,8508.6,8296.24,1198611584,33346186240.0
2021-06-02,8456.71,8423.56,8545.63,8394.76,1252382064,26846094336.0
2021-06-03,8455.83,8325.76,8475.25,8313.71,1220963600,24961478144.0
2021-06-04,8279.96,8437.14,8486.51,8210.37,1048952176,24706553600.0
2021-06-07,8458.38,8417.89,8487.79,8361.88,1010424400,22309444096.0
2021-06-08,8434.05,8545.05,8615.13,8410.28,1130432192,29999357440.0
2021-06-09,8500.98,8582.14,8587.6,8429.59,997061088,24047557632.0
2021-06-10,8537.01,8785.57,8817.27,8534.25,1206012640,31636343296.0
2021-06-11,8765.12,8962.3,9032.88,8673.61,1425563904,38898791936.0
2021-06-15,9007.65,9058.22,9190.96,8968.86,1193865120,35678631168.0
2021-06-16,8942.07,8540.64,8943.34,8528.46,1108402768,33648266752.0
2021-06-17,8501.59,8685.34,8716.15,8501.59,844192384,26183870976.0
2021-06-18,8744.15,9124.51,9222.75,8712.53,1337701152,37089035776.0
2021-06-21,9098.03,9203.96,9322.32,8937.73,1043672256,31897499136.0
2021-06-22,9237.46,9308.92,9424.48,9110.7,1501909456,34148181760.0
2021-06-23,9311.47,9536.24,9657.5,9311.47,1623957520,39478235648.0
2021-06-24,9588.39,9511.2,9680.8,9447.47,1620949760,36468695040.0
2021-06-25,9537.7,9484.46,9586.95,9367.59,1401182560,32669255424.0
2021-06-28,9490.62,9615.17,9713.65,9490.62,1494719552,34468311552.0
2021-06-29,9688.2,9384.82,9696.46,9295.3,1292716432,31996022272.0
2021-06-30,9362.91,9406.36,9410.22,9249.6,982651472,25200970240.0
2021-07-01,9440.39,9183.47,9440.39,9171.03,1317943968,33084487680.0
2021-07-02,9117.71,9072.29,9200.95,9029.34,1073896320,27238277632.0
2021-07-05,9060.36,9241.57,9245.37,9023.49,1218283568,30161376512.0
2021-07-06,9274.6,9251.19,9388.08,9052.07,1253689984,35297734912.0
2021-07-07,9142.12,9483.62,9540.62,9057.85,1392549520,33789507840.0
2021-07-08,9491.27,9417.73,9554.23,9399.51,1209996112,30679471104.0
